"Kind","Name","PercentLackOfCohesion","MaxInheritanceTree","CountClassBase","CountClassCoupled","CountClassDerived","CountDeclMethodAll","CountDeclInstanceMethod","CountDeclInstanceVariable","CountDeclMethod"
"Public Static Class","net.minecraftforge.event.world.ChunkDataEvent.Load",0,5,1,0,0,12,1,0,1
"Public Static Class","net.minecraftforge.event.world.ChunkDataEvent.Save",0,5,1,0,0,12,1,0,1
"Public Class","net.minecraftforge.event.world.ChunkEvent",0,3,1,0,3,9,2,1,2
"Public Static Class","net.minecraftforge.event.world.ChunkEvent.Load",0,4,1,0,0,10,1,0,1
"Public Static Class","net.minecraftforge.event.world.ChunkEvent.Unload",0,4,1,0,0,10,1,0,1
"Public Class","net.minecraftforge.event.world.WorldEvent",0,2,1,0,4,7,1,1,1
"Public Static Class","net.minecraftforge.event.world.WorldEvent.Load",0,3,1,0,0,8,1,0,1
"Public Static Class","net.minecraftforge.event.world.WorldEvent.Save",0,3,1,0,0,8,1,0,1
"Public Static Class","net.minecraftforge.event.world.WorldEvent.Unload",0,3,1,0,0,8,1,0,1
"Public Class","net.minecraftforge.oredict.OreDictionary",83,1,1,3,0,12,0,0,12
"Public Static Class","net.minecraftforge.oredict.OreDictionary.OreRegisterEvent",0,2,1,0,0,7,1,2,1
"Public Class","net.minecraftforge.oredict.ShapedOreRecipe",79,1,2,1,0,13,13,5,13
"Public Class","net.minecraftforge.oredict.ShapelessOreRecipe",62,1,2,1,0,8,8,2,8
"Public Class","net.minecraftforge.transformers.EventTransformer",0,1,2,1,0,3,3,0,3
"Public Class","net.minecraftforge.transformers.ForgeAccessTransformer",0,2,1,0,0,10,1,0,1
"Public Class","paulscode.sound.codecs.CodecIBXM",84,1,2,5,0,20,14,9,20
